timestamp,key,event
2025-04-19 23:37:16.899038,s,press
2025-04-19 23:37:17.009975,s,release
2025-04-19 23:37:17.129974,u,press
2025-04-19 23:37:17.161773,u,release
2025-04-19 23:37:17.889969,Key.backspace,press
2025-04-19 23:37:17.922234,Key.backspace,release
2025-04-19 23:37:18.129739,o,press
2025-04-19 23:37:18.234672,o,release
2025-04-19 23:37:18.401649,Key.space,press
2025-04-19 23:37:18.490090,Key.space,release
2025-04-19 23:37:18.491118,m,press
2025-04-19 23:37:18.554145,m,release
2025-04-19 23:37:18.642067,u,press
2025-04-19 23:37:18.722064,u,release
2025-04-19 23:37:18.746092,c,press
2025-04-19 23:37:18.826621,h,press
2025-04-19 23:37:18.849997,c,release
2025-04-19 23:37:18.882499,h,release
